Unnamed: 0,year,Name of municipality,Number of inhabitants,Men,Women,Unmarried,Married,Separated,fine particles,ash particles,NO2,Households total,Households without children,Percentage of family house,Percentage of multiple dwelling units,Owner-occupied housing,Rental housing total,Average electricity consumption total,Average natural gas consumption total,Average per capita income, Low-income households,Passenger cars total
11053,2014,Borger-Odoorn,4885,2345,2535,37.0,47.0,7.0,17.55,0.46,12.41,2225,39.0,83.0,17.0,62.0,38.0,3100.0,1600.0,22.2,9.5,2550
11127,2014,Cuijk,17320,8600,8715,45.0,42.0,8.0,21.69,0.9,21.56,7610,31.0,76.0,24.0,55.0,44.0,3050.0,1200.0,20.8,9.4,8305
11150,2014,Landerd,7030,3565,3465,45.0,45.0,5.0,22.11,0.88,20.29,2720,34.0,89.0,11.0,72.0,27.0,4000.0,1550.0,22.0,5.9,3775
11166,2014,De Wolden,6205,3015,3185,41.0,46.0,6.0,18.48,0.54,13.18,2525,35.0,83.0,17.0,68.0,29.0,3250.0,1550.0,22.3,6.7,3320
11218,2014,Noord-Beveland,1870,920,950,37.0,47.0,10.0,17.62,0.56,15.08,875,37.0,97.0,3.0,69.0,31.0,2950.0,1400.0,24.3,9.6,1065
11234,2014,Wijdemeren,1235,620,615,43.0,42.0,10.0,20.4,0.87,16.71,635,35.0,78.0,22.0,64.0,35.0,3250.0,1600.0,31.5,10.2,765
11254,2014,Noordenveld,17430,8530,8900,40.0,46.0,7.0,16.9,0.45,11.51,7760,36.0,84.0,16.0,66.0,33.0,3050.0,1550.0,22.0,8.7,8900
11299,2014,Twenterand,12870,6455,6415,43.0,47.0,4.0,19.67,0.61,14.13,4855,31.0,83.0,17.0,64.0,33.0,3500.0,1350.0,19.4,6.4,6320
11336,2014,Westerveld,2750,1315,1435,37.0,50.0,6.0,17.1,0.46,11.19,1210,38.0,93.0,7.0,69.0,31.0,3300.0,1650.0,21.8,8.0,1410
11405,2014,Sint Anthonis,4835,2455,2380,42.0,46.0,5.0,22.02,0.74,16.27,1985,36.0,87.0,13.0,70.0,26.0,3650.0,1550.0,23.6,5.5,2550
11421,2014,Lingewaard,20210,10065,10145,43.0,46.0,6.0,21.38,0.84,17.79,8080,34.0,88.0,12.0,75.0,25.0,3650.0,1400.0,22.9,6.3,10025
11447,2014,Cranendonck,9125,4540,4585,42.0,45.0,7.0,22.38,0.88,15.9,3915,34.0,87.0,13.0,72.0,27.0,3550.0,1450.0,22.6,6.9,4980
11470,2014,Steenwijkerland,24675,12225,12450,43.0,44.0,7.0,17.4,0.48,12.14,10885,33.0,81.0,19.0,56.0,43.0,2950.0,1350.0,20.2,10.1,11575
11588,2014,Moerdijk,14000,6930,7070,41.0,46.0,7.0,20.23,0.83,20.31,6005,35.0,79.0,21.0,63.0,37.0,3200.0,1200.0,23.9,6.3,6920
11631,2014,Echt-Susteren,6030,2960,3070,38.0,46.0,8.0,20.9,0.94,17.39,2670,34.0,81.0,19.0,63.0,32.0,3450.0,1400.0,23.0,8.0,3145
11723,2014,Sluis,2375,1160,1220,38.0,45.0,8.0,17.82,0.63,15.07,1130,35.0,84.0,16.0,62.0,33.0,2950.0,1450.0,22.6,11.8,1220
11762,2014,Drimmelen,11960,5905,6050,39.0,49.0,5.0,21.42,0.85,19.69,5010,38.0,86.0,14.0,70.0,30.0,3500.0,1300.0,22.6,5.0,6100
11784,2014,Bernheze,1600,845,755,46.0,47.0,3.0,22.05,0.88,19.3,600,35.0,96.0,4.0,79.0,20.0,4300.0,1600.0,21.5,5.7,825
